unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,,,,,,,,,,,,,,,,
unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,,,,,,,,,,,,,,,,,,,,,
unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving
unit_e,c_time,dt,Fx_, Bu_, Q_, R_, P_, S_, K_, u_, x_, y_, z_, x_prior_, P_prior_, x_post_, P_post_, hx_, H_,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.619,0.1,0,390240,0,1,0,0,11.4,13.251,-0.13,-0.13,0.081,13.11039,13.74573,0.00003,13.25037,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770365.819,0,1,0.2673202,-0.13,0.14654,-0.13,-0.13,-0.13,-0.27654,0.07769,13.11039,-0.15939,-0.14102,1,-0.13,-0.13,0,-0.13,1,13.22095,13.11275,0,13.22095,11.43,11.43,0,11.43,0,16,0.068,0.011,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770365.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00206,13.11275,0.31,-0.13,-0.13,0.066,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770365.819,2,0.9999999,0.0000056,0.00000225,0.25,0.00227237,0.2502464,0.002991466,0.3097358,0.9658596,0.04627705,13.26978,0.9657212,0.00227461,0.9658596,0.00227237,13.2235,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.819,0.1,0,390240,0,1,0,0,11.4,13.221,-0.13,-0.13,0.081,13.11039,13.74573,0.00003,13.22037,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770366.019,0,1,0.2673203,0.26129,-0.34257,0.26129,0.26129,0.26129,0.60386,0.08598,13.11039,-0.13954,-0.14023,1,0.26129,0.26129,0,0.26129,1,13.25953,13.11118,0,13.25953,11.43,11.43,0,11.43,0,16,-0.221,0.009,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770366.019,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00048,13.11118,-0.032,0.261,0.261,0.065,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770366.019,2,0.9999999,0.0000056,0.00000225,0.25,0.00227237,0.2502464,0.002991466,0.3097358,0.9658596,0.04627705,13.26978,0.9657212,0.00227461,0.9658596,0.00227237,13.2235,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.019,0.1,0,390240,0,1,0,0,11.4,13.26,0.261,0.261,0.08,13.11039,13.74573,0.00183,13.25715,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770366.219,0,1,0.2673202,0.26129,0.48892,0.26129,0.26129,0.26129,-0.22763,0.07748,13.11039,-0.17361,-0.14121,1,0.26129,0.26129,0,0.26129,1,13.2681,13.11141,0,13.2681,11.43,11.43,0,11.43,0,16,0.699,0.009,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770366.219,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00071,13.11141,0.017,0.261,0.261,0.065,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770366.219,2,0.9999999,0.0000056,0.00000225,0.25,0.00227237,0.2502464,0.002991466,0.3097358,0.9658596,0.04627705,13.26978,0.9657212,0.00227461,0.9658596,0.00227237,13.2235,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.219,0.1,0,390240,0,1,0,0,11.4,13.268,0.261,0.261,0.08,13.11039,13.74573,0.00183,13.26572,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770366.419,0,1,0.2673202,0.16347,-0.0002,0.16347,0.16347,0.16347,0.16367,0.07421,13.11039,-0.13615,-0.14143,1,0.16347,0.16347,0,0.16347,1,13.24667,13.11028,0,13.24667,11.43,11.43,0,11.43,0,16,-0.315,0.019,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770366.419,0,390240,0,11.4325,11.4325,13.74573,13.11025,-0.00042,13.11028,-0.228,0.163,0.163,0.065,0,-101774.8,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770366.419,2,0.9999999,0.0000056,0.00000225,0.25,0.00227237,0.2502464,0.002991466,0.3097358,0.9658596,0.04627705,13.26978,0.9657212,0.00227461,0.9658596,0.00227237,13.2235,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.419,0.1,0,390240,0,1,0,0,11.4,13.247,0.163,0.163,0.08,13.11039,13.74573,0.00138,13.24474,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
vunit_sel,74770366.619,0,1,0.26732,0.06564,0.04871,0.06564,0.06564,0.06564,0.01693,0.07861,13.11039,-0.11223,-0.14054,1,0.06564,0.06564,0,0.06564,1,13.19094,13.11276,0,13.19094,11.43,11.43,0,11.43,0,16,0.128,0.024,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770366.619,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00206,13.11276,0.31,0.066,0.066,0.066,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770366.619,2,0.9999999,0.0000056,0.00000225,0.25,0.00227237,0.2502464,0.002991466,0.3097358,0.9658596,0.04627705,13.26978,0.9657212,0.00227461,0.9658596,0.00227237,13.2235,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.619,0.1,0,390240,0,1,0,0,11.4,13.191,0.066,0.066,0.081,13.11039,13.74573,0.00093,13.18945,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
unit_sel,74770366.819,0,1,0.26732,-0.08109,0.29327,-0.08109,-0.08109,-0.08109,-0.37436,0.0675,13.11039,-0.09621,-0.13796,1,-0.08109,-0.08109,0,-0.08109,1,13.22095,13.11163,0,13.22095,11.43,11.43,0,11.43,0,16,0.107,0.03,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770366.819,0,390240,0,11.4325,11.4325,13.74573,13.11025,0.00093,13.11163,0.066,-0.081,-0.081,0.066,0,-101774.7,0.69826,0, ,,,,,,,,,,,,,,,,,,,,
