t,"  vb, real","vb, im",  ib,b2:c4098
842,12.779,0,-16.833,
842.20000000298,12.745,0,-17.138,
842.400000005961,12.749,0,-17.443,
842.600000008941,12.719,0,-17.077,
842.79999999702,12.745,0,-17.138,
843,12.758,0,-18.052,
843.20000000298,12.663,0,-17.504,
843.400000005961,12.749,0,-16.894,
843.600000008941,12.775,0,-16.894,
843.79999999702,12.758,0,-17.808,
844,12.71,0,-17.016,
844.20000000298,12.758,0,-17.504,
844.400000005961,12.727,0,-17.199,
844.600000008941,12.753,0,-17.26,
844.79999999702,12.758,0,-17.443,
845,12.749,0,-17.199,
845.20000000298,12.753,0,-17.747,
845.400000005961,12.775,0,-17.138,
845.600000008941,12.727,0,-17.565,
845.79999999702,12.732,0,-17.382,
846,12.758,0,-17.016,
846.20000000298,12.607,0,-17.382,
846.400000005961,12.727,0,-17.382,
846.600000008941,12.727,0,-17.199,
846.79999999702,12.736,0,-17.138,
847,12.749,0,-17.016,
847.20000000298,12.783,0,-17.26,
847.400000005961,12.732,0,-17.26,
847.600000008941,12.792,0,-16.65,
847.79999999702,12.783,0,-17.077,
848,12.745,0,-17.565,
848.20000000298,12.727,0,-17.626,
848.400000005961,12.74,0,-17.443,
848.600000008941,12.71,0,-17.077,
848.79999999702,12.715,0,-17.686,
849,12.671,0,-17.443,
849.20000000298,12.663,0,-17.382,
849.400000005961,12.766,0,-17.747,
849.600000008941,12.745,0,-17.199,
849.79999999702,12.749,0,-17.26,
850,12.749,0,-17.199,
850.20000000298,12.801,0,-17.138,
850.400000005961,12.74,0,-17.565,
850.600000008941,12.766,0,-17.321,
850.79999999702,12.74,0,-17.443,
851,12.659,0,-17.016,
851.20000000298,12.723,0,-17.138,
851.400000005961,12.706,0,-17.382,
851.600000008941,12.633,0,-17.016,
851.79999999702,12.77,0,-17.199,
852,12.633,0,-17.26,
852.20000000298,12.727,0,-17.199,
852.400000005961,12.745,0,-16.65,
852.600000008941,12.663,0,-17.26,
852.79999999702,12.758,0,-17.138,
853,12.775,0,-17.382,
853.20000000298,12.762,0,-17.199,
853.400000005961,12.801,0,-17.077,
853.600000008941,12.779,0,-17.565,
853.79999999702,12.779,0,-17.138,
854,12.758,0,-17.199,
854.20000000298,12.745,0,-17.26,
854.400000005961,12.749,0,-17.199,
854.600000008941,12.71,0,-16.833,
854.79999999702,12.74,0,-16.894,
855,12.676,0,-17.077,
855.20000000298,12.727,0,-16.894,
855.400000005961,12.715,0,-17.565,
855.600000008941,12.727,0,-17.138,
855.79999999702,12.766,0,-17.26,
856,12.753,0,-17.382,
856.20000000298,12.758,0,-16.955,
856.400000005961,12.822,0,-17.26,
856.600000008941,12.745,0,-17.138,
856.79999999702,12.753,0,-17.077,
857,12.745,0,-17.138,
857.20000000298,12.766,0,-17.443,
857.400000005961,12.684,0,-17.443,
857.600000008941,12.68,0,-17.382,
857.79999999702,12.762,0,-17.138,
858,12.723,0,-16.833,
858.20000000298,12.611,0,-17.26,
858.400000005961,12.723,0,-17.382,
858.600000008941,12.775,0,-16.833,
858.79999999702,12.753,0,-17.626,
859,12.749,0,-17.016,
859.20000000298,12.753,0,-17.808,
859.400000005961,12.758,0,-17.016,
859.600000008941,12.706,0,-17.199,
859.79999999702,12.745,0,-17.443,
860,12.749,0,-17.016,
860.20000000298,12.745,0,-17.443,
860.400000005961,12.727,0,-17.138,
860.600000008941,12.715,0,-17.504,
860.79999999702,12.689,0,-17.138,
861,12.74,0,-17.626,
861.20000000298,12.74,0,-17.016,
861.400000005961,12.702,0,-17.26,
861.600000008941,12.74,0,-16.833,
861.79999999702,12.77,0,-17.26,
862,12.758,0,-16.894,
862.20000000298,12.77,0,-17.626,
862.400000005961,12.814,0,-16.833,
862.600000008941,12.801,0,-17.382,
862.79999999702,12.753,0,-16.955,
863,12.62,0,-17.443,
863.20000000298,12.719,0,-17.138,
863.400000005961,12.723,0,-17.138,
863.600000008941,12.74,0,-17.138,
863.79999999702,12.71,0,-17.382,
864,12.689,0,-17.077,
864.20000000298,12.745,0,-17.138,
864.400000005961,12.727,0,-17.443,
864.600000008941,12.753,0,-17.077,
864.79999999702,12.753,0,-17.321,
865,12.753,0,-17.138,
865.20000000298,12.788,0,-17.382,
865.400000005961,12.766,0,-17.016,
865.600000008941,12.74,0,-17.565,
865.79999999702,12.788,0,-17.504,
866,12.753,0,-17.26,
866.20000000298,12.719,0,-17.504,
866.400000005961,12.745,0,-16.589,
866.600000008941,12.727,0,-17.382,
866.79999999702,12.736,0,-17.443,
867,12.723,0,-17.443,
867.20000000298,12.766,0,-17.077,
867.400000005961,12.745,0,-17.565,
867.600000008941,12.762,0,-17.016,
867.79999999702,12.792,0,-17.443,
868,12.758,0,-17.26,
868.20000000298,12.758,0,-17.443,
868.400000005961,12.775,0,-17.504,
868.600000008941,12.783,0,-17.321,
868.79999999702,12.689,0,-17.382,
869,12.783,0,-17.443,
869.20000000298,12.715,0,-17.565,
869.400000005961,12.723,0,-17.199,
869.600000008941,12.753,0,-17.382,
869.79999999702,12.719,0,-17.808,
870,12.637,0,-17.199,
870.20000000298,12.723,0,-16.955,
870.400000005961,12.762,0,-16.833,
870.600000008941,12.749,0,-17.077,
870.79999999702,12.758,0,-17.504,
871,12.779,0,-17.016,
871.20000000298,12.779,0,-17.321,
871.400000005961,12.697,0,-17.26,
871.600000008941,12.783,0,-17.443,
871.79999999702,12.758,0,-16.65,
872,12.723,0,-17.443,
872.20000000298,12.723,0,-17.321,
872.400000005961,12.693,0,-17.138,
872.600000008941,12.736,0,-16.955,
872.79999999702,12.715,0,-17.077,
873,12.646,0,-17.626,
873.20000000298,12.689,0,-16.711,
873.400000005961,12.74,0,-17.504,
873.600000008941,12.71,0,-17.382,
873.79999999702,12.788,0,-17.016,
874,12.783,0,-17.443,
874.20000000298,12.779,0,-17.077,
874.400000005961,12.783,0,-17.138,
874.600000008941,12.758,0,-17.016,
874.79999999702,12.775,0,-17.26,
875,12.745,0,-17.26,
875.20000000298,12.71,0,-17.382,
875.400000005961,12.723,0,-17.199,
875.600000008941,12.715,0,-17.26,
875.79999999702,12.71,0,-17.686,
876,12.667,0,-17.199,
876.20000000298,12.68,0,-17.565,
876.400000005961,12.663,0,-17.626,
876.600000008941,12.745,0,-17.077,
876.79999999702,12.779,0,-17.321,
877,12.732,0,-16.772,
877.20000000298,12.77,0,-16.894,
877.400000005961,12.779,0,-17.016,
877.600000008941,12.758,0,-17.26,
877.79999999702,12.74,0,-17.321,
878,12.775,0,-16.955,
878.20000000298,12.736,0,-17.686,
878.400000005961,12.766,0,-17.565,
878.600000008941,12.71,0,-17.199,
878.79999999702,12.693,0,-17.077,
879,12.693,0,-17.382,
879.20000000298,12.74,0,-17.26,
879.400000005961,12.736,0,-17.321,
879.600000008941,12.745,0,-17.321,
879.79999999702,12.749,0,-17.26,
880,12.689,0,-17.138,
880.20000000298,12.796,0,-16.894,
880.400000005961,12.745,0,-16.65,
880.600000008941,12.783,0,-17.443,
880.79999999702,12.775,0,-17.321,
881,12.792,0,-17.504,
881.20000000298,12.74,0,-17.321,
881.400000005961,12.749,0,-17.016,
881.600000008941,12.702,0,-16.894,
881.79999999702,12.693,0,-17.199,
882,12.676,0,-16.894,
882.20000000298,12.71,0,-16.833,
882.400000005961,12.723,0,-17.077,
882.600000008941,12.715,0,-17.747,
882.79999999702,12.745,0,-17.443,
883,12.758,0,-17.077,
883.20000000298,12.723,0,-17.138,
883.400000005961,12.805,0,-17.138,
883.600000008941,12.775,0,-17.016,
883.79999999702,12.758,0,-17.26,
884,12.732,0,-17.565,
884.20000000298,12.753,0,-17.565,
884.400000005961,12.766,0,-17.138,
884.600000008941,12.71,0,-17.382,
884.79999999702,12.766,0,-16.711,
885,12.676,0,-17.93,
885.20000000298,12.74,0,-17.382,
885.400000005961,12.753,0,-17.382,
885.600000008941,12.676,0,-17.199,
885.79999999702,12.779,0,-17.199,
886,12.676,0,-16.894,
886.20000000298,12.749,0,-17.077,
886.400000005961,12.745,0,-17.382,
886.600000008941,12.77,0,-17.382,
886.79999999702,12.753,0,-17.199,
887,12.727,0,-17.199,
887.20000000298,12.736,0,-17.565,
887.400000005961,12.783,0,-17.565,
887.600000008941,12.702,0,-17.504,
887.79999999702,12.715,0,-17.321,
888,12.745,0,-17.138,
888.20000000298,12.762,0,-17.382,
888.400000005961,12.693,0,-16.467,
888.600000008941,12.732,0,-16.772,
888.79999999702,12.745,0,-16.955,
889,12.788,0,-16.772,
889.20000000298,12.753,0,-17.199,
889.400000005961,12.762,0,-17.382,
889.600000008941,12.749,0,-16.955,
889.79999999702,12.766,0,-17.077,
890,12.727,0,-17.626,
890.20000000298,12.775,0,-17.443,
890.400000005961,12.74,0,-17.565,
890.600000008941,12.749,0,-17.443,
890.79999999702,12.775,0,-17.077,
891,12.74,0,-17.016,
891.20000000298,12.706,0,-17.382,
891.400000005961,12.727,0,-17.26,
891.600000008941,12.719,0,-16.894,
891.79999999702,12.745,0,-17.321,
892,12.74,0,-16.955,
892.20000000298,12.736,0,-17.626,
892.400000005961,12.719,0,-17.321,
892.600000008941,12.775,0,-17.26,
892.79999999702,12.766,0,-17.138,
893,12.758,0,-16.589,
893.20000000298,12.762,0,-17.138,
893.400000005961,12.732,0,-17.077,
893.600000008941,12.715,0,-16.833,
893.79999999702,12.719,0,-17.138,
894,12.732,0,-16.406,
894.20000000298,12.723,0,-17.321,
894.400000005961,12.762,0,-17.321,
894.600000008941,12.758,0,-17.321,
894.79999999702,12.745,0,-16.894,
895,12.736,0,-17.443,
895.20000000298,12.719,0,-17.321,
